label,acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_min,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_min,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_min
person1,0.9198860000000002,2.8012639470450016,6.1332,-6.0709,-0.270149,3.718514059270032,6.2807,-13.0539,-0.8939579999999999,4.085143181724219,13.3449,-9.9882,0.8124800000000001,0.6873915485442784,1.784,-0.249,-1.55051,0.7551526636075222,0.205,-2.576,-0.36942,0.4655650890275302,0.52,-1.066
person1,0.624204,2.517700124709779,5.5879,-4.6554,-0.0886769999999999,2.676895925532467,6.2807,-9.8189,-1.095,3.093196811675192,4.2761,-9.9882,0.30291,1.0904092744275315,1.784,-1.565,-1.1473799999999998,0.8935163288373582,0.345,-2.576,-0.4150999999999999,0.3591187727330512,0.151,-1.066
person1,0.8937959999999999,2.648722675727516,6.1625,-4.3861,-0.462175,3.98213032173329,7.9785,-13.6253,-0.845008,4.195343021207195,11.554,-8.3149,-0.5269,0.7384970473122345,0.61,-1.592,-0.5264700000000001,0.8705567759204509,1.278,-1.853,-0.91282,0.863715796644786,0.151,-2.462
person1,0.8136959999999999,2.574523002634653,6.1625,-4.1607,-0.637258,3.595190853763658,7.9785,-13.6253,0.1056609999999999,3.749311120911804,11.554,-8.3149,-0.61063,0.8225781796991528,0.61,-2.12,0.05281,1.3481216089901766,2.276,-1.853,-1.00915,0.8645856878390722,0.484,-2.462
person1,0.415619,2.935911708299193,5.8891,-8.6781,-0.1643529999999999,2.949260092056475,5.8213,-12.5249,0.1148119999999999,2.896968047761924,10.5913,-5.3257,-0.6551699999999999,0.6564112879048386,0.434,-2.12,0.4358399999999999,1.1433684129259332,2.276,-1.448,-0.14942,0.5606772632587784,0.954,-1.818
person1,-0.7090209999999999,2.7136030934063378,5.8891,-8.6781,-0.214279,2.927154459566596,5.8213,-12.5249,0.487779,2.9201116340669464,10.5913,-5.3257,-0.5048799999999999,0.3875248647610638,0.228,-1.634,0.6682100000000001,0.7631413586173424,1.777,-0.995,0.4069999999999998,0.7513247156075915,1.82,-0.907
person1,-0.234666,2.12929717404546,4.9291,-6.1846,-0.203431,1.6351239364693897,2.2804,-4.3798,-0.2087679999999999,2.708021993475584,10.4158,-8.6519,-0.4255500000000001,1.883473389133958,3.321,-4.027,0.3174799999999999,1.0646876952819773,1.657,-3.781,0.28129,0.3702486004856955,0.964,-1.03
person1,-0.51528,2.660781586851745,4.2686,-6.4573,0.255035,1.7372250311818116,2.3256,-4.3798,-0.048609,2.6916733801997146,4.0578,-8.6519,-0.30701,1.9430094615250224,3.321,-4.027,0.7587000000000002,1.3351344085480266,2.782,-3.781,-0.03408,0.5770976613252481,0.964,-1.03
person1,-0.8735059999999999,2.317432800364675,3.9145,-6.4573,0.393583,1.1433222201116404,2.5363,-2.1504,0.7861449999999999,1.7560545655091286,4.0578,-2.5041,-0.0071099999999999,0.7558401292000121,1.491,-1.07,1.08334,0.8572485610098948,2.804,-0.984,-0.8881300000000002,0.6929770741904349,0.48,-1.954
person1,-0.146529,2.3983024043447605,4.1267,-3.8671,-0.55687,2.579978598278629,3.7363,-9.6511,0.501151,2.237947470316937,7.8275,-3.2791,-0.42329,1.2573030724771996,1.491,-2.836,2.3169700000000004,1.8204417349099695,5.566,-0.289,-1.94197,0.7516118095281781,-0.747,-3.263
