acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.1559,0.3559,3.2162,0.883,-1.949,-0.038,person2
-0.4946,1.0832,2.0973,0.906,-1.94,-0.084,person2
0.2177,1.5775,0.1974,0.898,-1.839,-0.267,person2
0.9807,1.9038,-1.4857,0.873,-1.829,-0.29,person2
1.3976,2.0914,-1.5486,0.848,-1.827,-0.303,person2
1.6797,2.2965,-0.4463,0.626,-1.79,-0.278,person2
1.6943,2.1999,1.0635,0.59,-1.769,-0.302,person2
1.6267,1.9205,2.2418,0.422,-1.56,-0.424,person2
0.6252,1.6332,2.6658,0.36,-1.454,-0.447,person2
-0.891,1.7189,2.2642,0.111,-1.119,-0.39,person2
-1.8556,1.7967,2.0636,0.057,-1.051,-0.376,person2
-2.2342,1.9033,2.1755,-0.111,-0.618,-0.328,person2
-2.2062,1.8977,2.3325,-0.104,-0.544,-0.319,person2
-1.9295,1.7826,2.3235,-0.101,-0.089,-0.278,person2
-1.7345,1.817,2.1381,-0.112,-0.016,-0.281,person2
-1.4898,1.844,2.0053,-0.194,0.314,-0.341,person2
-1.2497,1.9146,2.045,-0.215,0.379,-0.361,person2
-1.0209,1.8986,2.1548,-0.465,0.728,-0.482,person2
-0.6924,1.7906,2.169,-0.512,0.77,-0.498,person2
-0.3352,1.6379,1.9628,-0.802,1.126,-0.681,person2
0.0107,1.543,1.5631,-0.848,1.173,-0.712,person2
0.3808,1.3662,1.1004,-1.014,1.318,-0.801,person2
0.6407,1.2184,0.5587,-1.03,1.322,-0.817,person2
1.0772,1.0324,-0.0139,-1.011,1.139,-0.93,person2
1.5969,0.772,-0.8359,-0.999,1.101,-0.95,person2
2.2141,0.4491,-2.0978,-0.973,0.835,-1.085,person2
2.8688,-0.1109,-3.2849,-0.794,0.331,-0.98,person2
3.3967,-0.8626,-3.7342,-0.782,0.258,-0.987,person2
3.654,-1.5526,-3.3873,-0.842,0.042,-1.005,person2
3.5667,-2.1282,-2.6417,-0.869,0.021,-1.008,person2
3.1167,-2.3382,-2.1532,-1.012,-0.072,-1.028,person2
2.4206,-1.9494,-2.2151,-1.136,-0.081,-1.084,person2
2.1402,-1.3477,-2.057,-1.166,-0.051,-1.104,person2
1.5658,-0.1653,-1.302,-1.355,0.053,-1.317,person2
1.2858,0.3431,-0.8525,-1.239,-0.146,-1.458,person2
0.3627,1.1837,0.3164,-1.234,-0.141,-1.481,person2
-0.0334,1.5018,1.0151,-1.222,-0.146,-1.511,person2
-0.3094,1.6233,1.6586,-1.206,-0.153,-1.533,person2
-0.4889,0.9467,2.05,-1.181,-0.163,-1.562,person2
-0.5705,-0.589,2.0997,-1.087,-0.2,-1.576,person2
-0.6169,-2.3573,1.6248,-1.055,-0.226,-1.55,person2
-0.3701,-3.9437,0.5112,-1.018,-0.264,-1.516,person2
0.1306,-5.3894,-0.8323,-0.976,-0.307,-1.479,person2
0.8605,-6.1492,-2.3086,-0.794,-0.549,-1.345,person2
1.8285,-6.2194,-3.1052,-0.758,-0.629,-1.305,person2
2.0274,-5.0226,-2.5869,-0.722,-0.713,-1.268,person2
0.5041,-2.3502,-1.2251,-0.689,-0.807,-1.228,person2
-1.5726,0.03,0.6271,-0.525,-1.217,-1.07,person2
-2.9591,1.3147,1.288,-0.476,-1.317,-1.036,person2
-3.6339,2.1936,1.3169,-0.429,-1.419,-1.007,person2
-4.076,2.6315,1.0565,-0.181,-1.881,-0.952,person2
-4.3165,2.3241,0.5961,-0.136,-1.954,-0.95,person2
-4.4851,1.5692,0.3642,-0.091,-2.021,-0.954,person2
-4.5178,0.6666,0.4144,0.071,-2.246,-0.996,person2
-4.503,-0.1116,0.6512,0.106,-2.283,-1.008,person2
-4.5623,-0.5948,0.948,0.139,-2.314,-1.024,person2
-4.626,-0.9046,1.2874,0.161,-2.335,-1.041,person2
-4.5157,-0.9821,1.6355,0.23,-2.335,-1.049,person2
-4.3749,-0.846,1.8154,0.252,-2.311,-1.038,person2
-4.0531,-0.271,1.7614,0.273,-2.278,-1.021,person2
-3.5427,0.2478,1.6426,0.343,-2.07,-0.924,person2
-2.9789,0.4325,1.5456,0.347,-2.025,-0.902,person2
-2.3535,0.4306,1.5265,0.348,-1.982,-0.887,person2
-1.9659,0.4503,1.5039,0.355,-1.793,-0.759,person2
-1.6088,0.4747,1.5844,0.363,-1.739,-0.713,person2
-1.3589,0.4785,1.6909,0.382,-1.64,-0.618,person2
-1.103,0.3617,1.8588,0.43,-1.465,-0.435,person2
-0.8684,0.1516,1.983,0.445,-1.418,-0.404,person2
-0.3897,-0.0901,1.9724,0.459,-1.368,-0.361,person2
0.1009,-0.3399,1.9282,0.544,-1.061,-0.133,person2
0.2946,-0.4983,1.8511,0.56,-1.008,-0.092,person2
0.4615,-0.4405,1.7471,0.581,-0.958,-0.058,person2
0.5786,-0.1981,1.6805,0.685,-0.827,-0.02,person2
0.6087,0.0551,1.4202,0.704,-0.817,-0.018,person2
0.6928,0.2142,1.1025,0.725,-0.812,-0.026,person2
0.8321,0.3068,0.7821,0.785,-0.845,-0.014,person2
1.136,0.326,0.3853,0.79,-0.852,-0.003,person2
1.2916,0.2725,0.1283,0.79,-0.855,0.01,person2
1.5171,0.1514,-0.0748,0.718,-0.691,0.123,person2
1.7988,0.0201,-0.366,0.697,-0.662,0.171,person2
1.9447,-0.1209,-0.5246,0.671,-0.636,0.208,person2
2.1025,-0.2026,-0.8106,0.502,-0.388,0.161,person2
2.206,-0.1983,-1.1017,0.466,-0.292,0.144,person2
2.3145,-0.0966,-1.2828,0.197,0.102,-0.144,person2
2.4149,0.019,-1.4654,0.163,0.138,-0.192,person2
2.5494,0.3072,-1.4626,-0.01,0.462,-0.38,person2
2.5673,0.4589,-1.4186,-0.035,0.514,-0.412,person2
2.6842,0.5472,-1.3649,-0.167,0.752,-0.576,person2
2.7742,0.5969,-1.2066,-0.195,0.804,-0.607,person2
2.8491,0.61,-1.0647,-0.388,1.035,-0.797,person2
2.7446,0.4222,-0.9928,-0.416,1.056,-0.819,person2
2.5408,0.3035,-0.9275,-0.447,0.98,-0.829,person2
2.3166,0.2688,-0.9549,-0.408,0.943,-0.814,person2
2.0938,0.2792,-1.0269,-0.062,0.523,-0.588,person2
1.9918,0.2624,-1.091,0.252,-0.115,-0.328,person2
1.867,0.3091,-1.1464,0.407,-0.345,-0.182,person2
1.746,0.3174,-1.1509,0.415,-0.245,-0.372,person2
1.632,0.1911,-1.2355,0.392,0.084,-0.512,person2
1.4556,-0.0163,-1.2257,0.431,0.216,-0.678,person2
1.3448,-0.2181,-1.182,0.44,0.234,-0.715,person2
1.3013,-0.3602,-1.1068,0.448,0.257,-0.748,person2
1.3706,-0.4383,-1.0247,0.499,0.444,-0.924,person2
1.2679,-0.6291,-0.9577,0.514,0.468,-0.925,person2
1.1207,-0.8889,-0.8917,0.54,0.486,-0.906,person2
1.0414,-1.3001,-0.7995,0.571,0.502,-0.873,person2
0.9875,-1.63,-0.6557,0.605,0.514,-0.831,person2
0.8551,-1.9221,-0.5584,0.638,0.53,-0.776,person2
0.7258,-1.9833,-0.4255,0.667,0.546,-0.716,person2
0.7478,-2.2864,-0.2742,0.753,0.62,-0.38,person2
1.083,-2.9456,-0.0244,0.751,0.64,-0.299,person2
1.7428,-3.4123,0.3502,0.554,0.813,0.154,person2
2.4397,-3.2713,0.3205,0.49,0.841,0.217,person2
2.6324,-2.8674,0.0919,0.013,0.987,0.514,person2
2.746,-2.4145,-0.2971,-0.032,1.007,0.458,person2
2.6955,-2.0488,-0.8413,0.349,0.885,0.426,person2
2.5145,-1.6085,-1.6556,0.587,0.946,0.438,person2
2.4693,-1.288,-2.6942,0.629,0.958,0.257,person2
2.1911,-1.0797,-3.9232,0.61,0.966,0.231,person2
1.9935,-0.9685,-5.4612,0.587,0.98,0.207,person2
2.0243,-1.0466,-8.7972,0.563,0.997,0.186,person2
1.457,-1.1837,-11.6673,0.548,1.017,0.171,person2
0.1555,-1.078,-9.67,0.529,1.03,0.162,person2
-1.0926,-1.1957,-5.3558,0.42,1.111,0.105,person2
-1.827,-1.5288,-2.2051,0.385,1.133,0.086,person2
-2.2223,-1.8209,-0.3833,0.349,1.154,0.066,person2
-2.7927,-2.2608,1.1926,0.309,1.182,0.049,person2
-3.576,-2.8313,2.1196,0.165,1.33,-0.005,person2
-3.9845,-3.4,2.8816,0.125,1.356,-0.026,person2
-4.4341,-4.0184,4.0315,0.081,1.368,-0.055,person2
-4.7685,-4.4029,4.5461,0.04,1.378,-0.086,person2
-4.7094,-4.6731,4.178,-0.066,1.387,-0.156,person2
-4.5451,-4.4181,3.7918,-0.08,1.382,-0.16,person2
-4.77,-3.5725,4.0123,-0.088,1.371,-0.156,person2
-4.93,-2.1559,4.1565,-0.112,1.234,-0.119,person2
-5.015,-0.9493,4.2596,-0.111,1.202,-0.11,person2
-4.6873,-0.1144,4.4825,-0.104,1.175,-0.098,person2
-4.0853,0.4057,5.0283,-0.035,1.078,-0.014,person2
-3.8367,0.9264,5.0622,-0.011,1.061,0.007,person2
-3.6096,1.3264,4.8851,0.014,1.041,0.025,person2
-3.4455,1.8317,4.4844,0.194,0.876,0.098,person2
-3.0967,2.0485,4.1822,0.245,0.818,0.094,person2
-2.6735,2.0063,3.5559,0.572,0.327,0.071,person2
-2.2762,1.7758,2.4916,0.625,0.235,0.069,person2
-1.6878,1.4028,0.9872,0.877,-0.222,0.035,person2
-0.9745,1.1345,-0.3106,0.952,-0.445,0.059,person2
-0.361,0.8693,-1.056,0.762,-0.336,0.185,person2
0.0984,0.7882,-0.9795,0.478,-0.072,0.316,person2
0.1934,0.7738,-0.7128,0.441,-0.04,0.339,person2
-0.706,1.0463,-0.0977,0.406,-0.006,0.368,person2
-1.9483,1.5449,0.4391,0.374,0.026,0.393,person2
-2.7279,1.9025,0.9195,0.344,0.055,0.41,person2
-3.3117,2.0591,1.2956,0.32,0.079,0.424,person2
-3.5228,2.2795,1.8237,0.302,0.102,0.428,person2
-3.3981,2.5049,2.2429,0.289,0.135,0.433,person2
-3.1714,2.6595,2.2595,0.299,0.137,0.429,person2
-2.7337,2.6222,2.1143,0.318,0.138,0.424,person2
-2.0367,2.4299,1.8278,0.34,0.136,0.414,person2
-1.1148,2.1975,1.3889,0.467,0.14,0.368,person2
-0.0218,1.9791,0.8257,0.496,0.137,0.354,person2
0.8593,1.5419,-0.1012,0.523,0.134,0.341,person2
1.9033,0.9997,-1.5136,0.546,0.134,0.326,person2
3.3026,0.0851,-3.3497,0.564,0.119,0.27,person2
5.0982,-1.1403,-5.2365,0.553,0.116,0.255,person2
6.7746,-2.5088,-6.2392,0.538,0.109,0.248,person2
7.4331,-3.7195,-4.4747,0.518,0.107,0.237,person2
7.2513,-4.433,-1.5478,0.44,0.1,0.213,person2
5.405,-3.9451,-0.9143,0.422,0.102,0.213,person2
3.1382,-2.4106,-1.6573,0.408,0.103,0.21,person2
1.6728,-0.8432,-1.6588,0.316,0.099,0.228,person2
0.6276,0.5351,-1.3829,0.311,0.094,0.228,person2
-0.1708,1.512,-1.126,0.315,0.091,0.224,person2
-0.8253,1.8706,-0.3111,0.319,0.087,0.22,person2
-1.3538,0.1463,0.4172,0.328,0.083,0.214,person2
-1.79,-2.2187,0.4299,0.339,0.084,0.206,person2
-1.7305,-4.173,-0.1712,0.349,0.09,0.201,person2
-1.127,-5.7507,-0.3997,0.371,0.117,0.199,person2
-0.158,-6.6415,-0.0559,0.37,0.129,0.203,person2
0.5329,-6.4008,0.6711,0.365,0.142,0.208,person2
0.3606,-4.679,0.8618,0.357,0.161,0.216,person2
-0.8226,-2.1969,0.9797,0.293,0.233,0.229,person2
-2.0454,-0.12,1.1971,0.232,0.287,0.235,person2
-2.8048,1.3407,1.0868,0.202,0.313,0.246,person2
-3.3408,2.4031,0.7468,0.175,0.343,0.254,person2
-3.7437,2.8142,0.6346,0.083,0.49,0.305,person2
-3.9378,2.3817,0.673,0.062,0.52,0.321,person2
-4.0138,1.4533,0.6572,0.05,0.542,0.338,person2
-4.0271,0.6248,0.7157,-0.004,0.595,0.433,person2
-4.1087,0.071,0.82,-0.005,0.58,0.443,person2
-4.3169,-0.2895,1.0094,-0.005,0.357,0.437,person2
-4.4219,-0.6848,1.2224,0.001,0.315,0.432,person2
-4.6117,-0.8982,1.2804,0.108,0.01,0.432,person2
-4.6069,-0.6235,1.1834,0.423,-0.105,0.493,person2
-4.2965,-0.066,1.075,0.67,-0.285,0.377,person2
-3.4659,0.3311,1.055,0.687,-0.319,0.326,person2
-2.8471,0.4006,1.131,0.678,-0.307,0.325,person2
-2.3901,0.6718,1.2374,0.663,-0.298,0.319,person2
-2.1971,0.8605,1.4071,0.648,-0.291,0.306,person2
-2.0621,0.8623,1.6553,0.632,-0.285,0.288,person2
-1.744,0.5878,1.9255,0.619,-0.264,0.294,person2
-1.4321,0.2553,2.0433,0.613,-0.238,0.316,person2
-1.061,-0.0337,2.1547,0.591,-0.153,0.359,person2
-0.5627,-0.2909,2.197,0.585,-0.129,0.362,person2
-0.3467,-0.4825,2.0533,0.581,-0.102,0.369,person2
-0.0574,-0.4659,1.8674,0.572,-0.072,0.384,person2
0.0758,-0.3764,1.7164,0.562,-0.038,0.395,person2
0.2112,-0.1753,1.4665,0.485,0.106,0.409,person2
0.2127,0.0667,1.0636,0.463,0.14,0.412,person2
0.3599,0.1518,0.7203,0.44,0.166,0.402,person2
