# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:16:38.835,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.81494,-2.3018,0.4316,0.4799,2.39
2.821277,-2.9504,0.4667,0.4957,3.03
2.831468,-3.1013,0.5945,0.5428,3.2
2.841622,-2.2636,0.9902,0.1616,2.48
2.851397,-1.8121,0.8228,0.4799,2.05
2.864518,-0.9277,1.3216,0.0608,1.62
2.872081,0.0385,1.1171,-0.0559,1.12
2.881801,0.7169,0.9324,-0.0057,1.18
2.892032,1.461,0.8557,-0.3303,1.73
2.901831,2.016,0.4114,-0.368,2.09
2.915994,2.1758,-0.0147,-0.1721,2.18
2.922344,2.0674,-0.0818,-0.2012,2.08
2.932217,2.0841,-0.0966,-0.0098,2.09
2.94768,1.6095,-0.3227,0.5628,1.74
2.952202,0.8171,-0.2237,1.0961,1.39
2.964346,-0.1911,-0.4675,2.1636,2.22
2.972719,-1.0662,-0.3272,3.2199,3.41
2.982569,-1.9488,-0.5055,4.0972,4.57
2.997837,-2.7772,-0.9736,4.636,5.49
3.002598,-2.595,-1.2017,4.2148,5.09
3.014085,-1.6812,-1.1691,3.3904,3.96
3.023058,-1.138,-0.9746,2.2886,2.74
3.032872,-1.0493,-0.7686,0.9012,1.58
3.048229,-1.6408,-0.8662,0.1647,1.86
3.052989,-2.0505,-0.7342,0.3296,2.2
3.063936,-2.4169,-1.2024,1.595,3.14
3.073383,-2.812,-2.579,2.4977,4.56
3.083277,-3.4855,-3.3763,2.5032,5.46
3.097666,-3.8642,-3.0699,2.3376,5.46
3.103316,-4.496,-2.39,1.944,5.45
3.114141,-5.1956,-2.0912,1.1844,5.72
3.123766,-5.3292,-2.0246,0.6314,5.74
3.133555,-4.587,-1.5325,0.8223,4.91
3.148157,-2.7907,-0.3977,1.7603,3.32
3.153492,-0.7399,0.3642,2.1085,2.26
3.174052,0.7642,0.6038,1.8666,2.11
3.191747,3.3562,0.2897,0.8014,3.46
3.194119,4.0107,0.0328,0.4772,4.04
3.20467,4.1816,-0.3663,0.0334,4.2
3.214222,4.0688,-0.8393,-0.182,4.16
3.224659,3.4232,-1.3843,-0.497,3.73
3.234603,2.345,-2.0178,-1.398,3.39
3.250359,0.5841,-2.4998,-3.0376,3.98
3.254557,-0.9923,-2.5955,-4.0497,4.91
3.268237,-1.9579,-2.4149,-4.4337,5.42
3.27485,-2.4911,-2.0163,-3.6152,4.83
3.284588,-2.8387,-1.6712,-2.1225,3.92
3.298369,-2.6717,-1.5498,-1.0018,3.25
3.305049,-2.1035,-1.3653,-0.8006,2.63
3.314834,-1.5894,-1.0247,-0.953,2.12
3.325271,-1.2587,-0.6097,-1.2522,1.88
3.335061,-0.8907,-0.2384,-1.7258,1.96
3.346968,-0.3847,-0.0024,-2.1304,2.16
3.355366,0.0584,0.1238,-2.3662,2.37
3.365439,0.3604,0.0141,-2.5762,2.6
3.375687,0.5657,-0.1203,-2.5509,2.62
3.385401,0.9142,-0.3456,-2.591,2.77
